member_id,start_date,end_date
640438,2023-08-04,2023-08-04
583016,2023-08-21,2023-08-21
640438,2023-08-25,2023-08-25
568201,2023-08-28,2023-08-30
629580,2023-08-28,2023-08-28
640438,2023-09-01,2023-09-01
534134,2023-09-01,2023-09-01
583016,2023-09-05,2023-09-08
568201,2023-09-07,2023-09-11
534134,2023-09-18,2023-09-19
629580,2023-10-06,2023-10-06
568201,2023-10-13,2023-10-13
629580,2023-10-19,2023-10-20
640438,2023-10-30,2023-11-03
629580,2023-11-03,2023-11-03
568201,2023-11-06,2023-11-06
534134,2023-11-07,2023-11-07
568201,2023-11-16,2023-11-16
629580,2023-11-20,2023-11-23
534134,2023-11-20,2023-11-23
640438,2023-11-22,2023-11-23
629580,2023-11-24,2023-11-24
568201,2023-11-24,2023-11-24
534134,2023-11-24,2023-11-24
640438,2023-11-24,2023-11-24
640438,2023-12-01,2023-12-01
640438,2023-12-04,2023-12-04
534134,2023-12-05,2023-12-05
583016,2023-12-06,2023-12-06
583016,2023-12-08,2023-12-08
534134,2023-12-08,2023-12-08
629580,2023-12-13,2023-12-29
534134,2023-12-18,2023-12-29
568201,2023-12-22,2024-01-03
583016,2023-12-26,2024-01-08
568201,2024-01-11,2024-01-15
583016,2024-02-06,2024-04-06
534134,2024-03-25,2024-03-29
568201,2024-04-12,2024-04-12
568201,2024-05-02,2024-05-06
629580,2024-05-24,2024-06-05
534134,2024-06-03,2024-06-21
568201,2024-07-05,2024-07-05
568201,2024-07-26,2024-07-29
568201,2024-11-29,2024-11-29
568201,2024-12-20,2025-01-05
